No;Time;Interval(mi);Indoor Humidity(%);Indoor Temperature(°C);Outdoor Humidity(%);Outdoor Temperature(°C);Absolute Pressure(Hpa);Wind(m/s);Gust(m/s);Direction;Relative Pressure(Hpa);Dewpoint(°C);Windchill(°C);Hour Rainfall(mm);24 hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm);Wind Level(bft);Gust Level(bft)
1;14-06-2024 09:22;5;48;21.3;60;15.0;1004.2;1.7;2.0;NWW;1005.6;7.3;15.0;0.0;0.0;0.0;0.0;0.0;2;2
2;14-06-2024 09:27;5;49;21.3;56;15.2;1004.4;2.0;2.0;SWW;1005.8;6.5;14.3;0.0;0.0;0.0;0.0;0.0;2;2
3;14-06-2024 09:32;5;47;21.3;56;15.3;1004.3;0.7;1.0;SW;1005.7;6.6;15.3;0.0;0.0;0.0;0.0;0.0;1;1
4;14-06-2024 09:37;5;45;21.3;54;16.0;1004.3;0.7;1.0;SW;1005.7;6.7;16.0;0.0;0.0;0.0;0.0;0.0;1;1
5;14-06-2024 09:42;5;45;21.5;58;16.0;1004.5;2.4;3.1;NW;1005.9;7.8;14.5;0.0;0.0;0.0;0.0;0.0;2;2
6;14-06-2024 09:47;5;47;21.5;59;15.9;1004.3;0.7;1.7;NWW;1005.7;7.9;15.9;0.0;0.0;0.0;0.0;0.0;1;2
7;14-06-2024 09:52;5;47;21.6;61;16.0;1004.4;2.0;3.1;NWW;1005.8;8.5;15.2;0.0;0.0;0.0;0.0;0.0;2;2
8;14-06-2024 09:57;5;47;21.7;60;15.6;1004.2;1.0;2.0;NW;1005.6;7.9;15.6;0.0;0.0;0.0;0.0;0.0;1;2
9;14-06-2024 10:02;5;45;21.8;55;15.8;1004.3;1.7;3.1;NWW;1005.7;6.8;15.8;0.0;0.0;0.0;0.0;0.0;2;2
10;14-06-2024 10:07;5;45;21.9;55;15.7;1004.3;1.4;2.7;NW;1005.7;6.7;15.7;0.0;0.0;0.0;0.0;0.0;1;2
11;14-06-2024 10:12;5;44;21.9;58;16.2;1004.1;2.7;3.1;NWW;1005.5;7.9;14.3;0.0;0.0;0.0;0.0;0.0;2;2
12;14-06-2024 10:17;5;44;22.1;53;15.9;1004.2;0.7;1.0;NNE;1005.6;6.4;15.9;0.0;0.0;0.0;0.0;0.0;1;1
13;14-06-2024 10:22;5;43;22.2;54;16.0;1004.2;0.3;1.0;NNW;1005.6;6.7;16.0;0.0;0.0;0.0;0.0;0.0;1;1
14;14-06-2024 10:27;5;43;22.2;53;15.8;1003.7;1.7;2.0;NW;1005.1;6.3;15.8;0.0;0.0;0.0;0.0;0.0;2;2
15;14-06-2024 10:32;5;43;22.3;50;16.3;1003.9;3.1;4.1;NNW;1005.3;5.9;13.9;0.0;0.0;0.0;0.0;0.0;2;3
16;14-06-2024 10:37;5;42;22.4;51;16.1;1003.7;1.7;2.7;NNE;1005.1;6.0;16.1;0.0;0.0;0.0;0.0;0.0;2;2
17;14-06-2024 10:42;5;41;22.5;52;16.0;1003.8;2.0;3.1;NW;1005.2;6.2;15.2;0.0;0.0;0.0;0.0;0.0;2;2
18;14-06-2024 10:47;5;42;22.6;54;16.0;1003.8;2.4;3.1;NWW;1005.2;6.7;14.5;0.0;0.0;0.0;0.0;0.0;2;2
19;14-06-2024 10:52;5;42;22.7;54;16.0;1004.0;0.7;1.0;NWW;1005.4;6.7;16.0;0.0;0.0;0.0;0.0;0.0;1;1
20;14-06-2024 10:57;5;40;22.8;50;16.5;1004.0;1.7;2.7;NNW;1005.4;6.1;16.5;0.0;0.0;0.0;0.0;0.0;2;2
21;14-06-2024 11:02;5;40;22.9;51;16.4;1003.9;1.0;1.7;NE;1005.3;6.3;16.4;0.0;0.0;0.0;0.0;0.0;1;2
22;14-06-2024 11:07;5;40;23.0;50;16.8;1003.8;1.4;2.0;N;1005.2;6.3;16.8;0.0;0.0;0.0;0.0;0.0;1;2
23;14-06-2024 11:12;5;40;23.1;51;16.7;1003.9;1.7;2.0;NNW;1005.3;6.5;16.7;0.0;0.0;0.0;0.0;0.0;2;2
